"","x"
"1",0.216754862863576
"2",-0.542492572263425
"3",0.891144645072327
"4",0.595980577187475
"5",1.63561800111297
"6",0.689275441919723
"7",-1.28124663010116
"8",-0.213144519278363
"9",1.89653987190927
"10",1.77686321368272
"11",0.566604498180317
"12",0.01571945400457
"13",0.383057338517151
"14",-0.0451371159133086
"15",0.0343519073969926
"16",0.169026774218306
"17",1.16502683902767
"18",-0.0442039972520874
"19",-0.100368442585905
"20",-0.283444568873591
"21",1.54081498087098
"22",0.165169019709921
"23",1.30762236025457
"24",1.28825687792158
"25",0.592896940648028
"26",-0.282943684322266
"27",1.25588402559985
"28",0.909839151228625
"29",-0.92802810507435
"30",1.24018083800314
"31",0.153464179554629
"32",1.05193257898961
"33",-0.754211212817517
"34",-1.48218911965123
"35",0.861131872497717
"36",-0.404519830756996
"37",-0.227405417273616
"38",0.934096170862491
"39",-0.465895879790951
"40",-0.637543498570216
"41",1.34370862619937
"42",0.181535384597938
"43",1.29251233641714
"44",-1.68804857586479
"45",-0.820993577630954
"46",-0.862146144099767
"47",0.0988436891379549
"48",-0.375655144198359
"49",0.723904155284259
"50",-1.79738201857254
"51",-0.663743141576223
"52",-0.62372648872918
"53",-0.0796324318381617
"54",0.435624762829408
"55",1.97090096972424
"56",-0.596758672509127
"57",-0.552507211608962
"58",0.695966633701107
"59",-0.155663964607985
"60",1.34889819519773
"61",-1.06852307048677
"62",1.06445074680413
"63",-1.31272176453748
"64",2.0636947022519
"65",0.131383010662678
"66",-0.231688448914938
"67",-0.397355522973457
"68",0.889432082281373
"69",0.526169039496728
"70",-0.171273242962619
"71",0.158676897443255
"72",-0.485665066172426
"73",-0.958906074999206
"74",0.180517292107055
"75",0.721734282818919
"76",-0.369540478120798
"77",0.237538312539657
"78",-0.665922112414915
"79",-0.796807509842757
"80",-0.0516969313113834
"81",1.28692833329751
"82",-0.21414966273839
"83",-0.574745464301402
"84",-1.47072704429233
"85",-1.0327384328225
"86",-1.30652485523967
"87",-0.838252407319143
"88",-1.13065368102478
"89",0.368748175283016
"90",-0.201803020330878
"91",-1.27765990277316
"92",-0.798012480668575
"93",0.159082422945998
"94",0.614797633143453
"95",0.687947962386413
"96",-0.0470510110562396
"97",2.33032167829949
"98",-0.577565990980993
"99",0.968479134291847
"100",-0.277535627462324
"101",0.684801935982016
"102",-0.115113509541422
"103",-0.356475179818482
"104",-0.105771607639055
"105",0.04488279008542
"106",-1.72617323198819
"107",1.5557870203106
"108",0.776412691732506
"109",-1.09850750875349
"110",-1.72801975364219
"111",0.427638224556888
"112",0.744564645243804
"113",0.865220797014492
"114",0.305328810056076
"115",-0.114022791247444
"116",0.423652240248318
"117",-0.797709686806864
"118",-0.604197249369762
"119",1.7150105937509
"120",-0.715948277798107
"121",-0.133235612186242
"122",-0.99976506261358
"123",1.87376011706371
"124",-0.337388432022085
"125",0.973270288663674
"126",0.987827930863454
"127",-0.941256608526453
"128",0.34918559390481
"129",-0.594418681687869
"130",-2.38224283134454
"131",1.07801897371074
"132",0.66824510502262
"133",-0.964625666731115
"134",-1.9752373318646
"135",-0.584773900728054
"136",0.969277036205943
"137",0.55229232593856
"138",-0.0821555007138881
"139",-1.67671375844017
"140",1.21260742701799
"141",1.00049987097878
"142",0.71932899078846
"143",-0.844364152042341
"144",0.621985390347415
"145",-0.722613780351587
"146",-0.449478625136658
"147",-1.19550605006888
"148",0.390472363016844
"149",-0.51637664263657
"150",0.909868977935882
"151",0.876984652958674
"152",-0.816195809871873
"153",1.5392932698972
"154",1.37452571560923
"155",-0.483248711165824
"156",0.5503499503389
"157",-0.857365663007039
"158",-0.706961366172475
"159",-2.09707753342934
"160",1.09943675475969
"161",0.342034089049564
